campaign_id,campaign_name,channel,start_date,end_date,target_audience,region,spend_inr,impressions,clicks,conversions,revenue_inr
1612,Back To College Offer,Facebook,2024-06-26,2024-07-21,Female 45+,Central,41035.94,828358,21528,974,1512908.01
1226,Anti-Ageing Serum Push,Facebook,2024-11-06,2024-11-14,Female 35-44,Central,26938.24,818079,5048,327,353103.54
1272,Wedding Season Special,Facebook,2024-01-16,2024-02-14,Female 35-44,Central,44725.8,1133843,19658,806,1373395.27
1205,Wedding Season Special,YouTube,2024-01-28,2024-02-23,Female 35-44,Unspecified,29992.68,1012391,9949,299,213280.72
1806,Anti-Ageing Serum Push,Instagram,2024-07-07,2024-07-22,Female 25-34,South,27693.68,774637,10265,579,922779.24
1241,Sunscreen Season Campaign,Facebook,2024-06-25,2024-06-30,Male 25-34,East,11334.45,415795,14092,337,399360.83
1278,Monsoon Skincare Push,Facebook,2024-09-18,2024-10-12,Female 45+,East,22661.86,555559,15582,1150,1345457.21
1250,Men'S Grooming Drive,Facebook,2024-07-14,2024-07-19,Male 25-34,West,48882.33,1606618,26579,2079,1472732.78
1547,Baby Care Trust Campaign,Facebook,2024-11-22,2024-12-09,Male 18-24,North,23561,885989,28166,2095,2546904.59
1339,Herbal Range Awareness,Instagram,2024-08-02,2024-08-27,Male 35-44,East,10533.17,234801,5674,87,54899.74
1717,Ayurvedic Range Launch,YouTube,2024-09-09,2024-09-25,Female 25-34,East,19530.3,661906,11849,677,1119099.65
1238,Summer Glow Launch,Email,2024-06-10,2024-07-07,Male 45+,South,1082.74,21945,492,16,19816.45
1645,Sunscreen Season Campaign,Instagram,2024-02-03,2024-03-03,Female 35-44,Central,42994.76,746569,23039,782,1052642.73
1169,Men'S Grooming Drive,Instagram,2024-03-26,2024-04-13,Female 45+,North,53852.07,1280644,20823,1416,2115020.42
1653,Baby Care Trust Campaign,Instagram,2024-10-20,2024-11-08,Female 25-34,North,41809.05,826656,5945,344,528296.58
1233,Hair Care Revamp,YouTube,2024-06-26,2024-07-09,Male 35-44,North,60477.26,1201267,39511,1985,1446282.68
1525,Ayurvedic Range Launch,Instagram,2024-09-04,2024-09-28,Male 35-44,North,36417.1,690457,18815,1408,956998.6
1231,Sunscreen Season Campaign,Instagram,2024-11-07,2024-11-13,Female 25-34,North,27984.95,1108517,25960,1206,1666485.12
1047,Herbal Range Awareness,Email,2024-09-10,2024-09-16,Female 35-44,West,4516.04,134372,4177,297,293567.87
1497,Baby Care Trust Campaign,Instagram,2024-04-03,2024-05-02,Female 35-44,South,26335.66,720416,14003,1093,1336222.58
1082,Clearance Sale Push,Facebook,2024-01-19,2024-02-02,Male 45+,South,7927.48,158444,991,74,81200.66
1536,Back To College Offer,Google Ads,2024-09-15,2024-09-23,Female 35-44,East,25314.94,609864,20889,1477,1616610.27
1365,Back To College Offer,YouTube,2024-05-13,2024-05-23,Female 35-44,East,59476.53,1379231,18556,295,260490.71
1675,Back To College Offer,YouTube,2024-07-23,2024-08-22,Female 18-24,East,70828.98,1827028,58907,1479,905251.01
1702,Wedding Season Special,Email,2024-07-07,2024-08-04,Female 35-44,South,4022.16,90484,567,21,34140.06
1033,Clearance Sale Push,Email,2024-08-11,2024-09-08,Male 45+,Central,2878.77,104478,3126,50,81418.26
1668,Hair Care Revamp,YouTube,2024-03-25,2024-04-19,Female 25-34,Central,79420.56,1640545,54005,3247,3682719.06
1032,Influencer Collab - Skincare,Google Ads,2024-02-05,2024-02-26,Male 35-44,North,33886.18,1228014,36435,633,1103408.87
1285,Men'S Grooming Drive,Instagram,2024-07-21,2024-08-18,Male 35-44,North,40031.65,629615,6465,214,179761.81
1609,Men'S Grooming Drive,Email,2024-06-08,2024-06-21,Female 18-24,West,3454.79,81313,1792,105,122952.32
1550,Anti-Ageing Serum Push,Email,2024-01-29,2024-02-11,Female 25-34,Central,1749.34,52232,1549,76,102703.34
1768,New Year Wellness,Google Ads,2024-10-20,2024-11-14,Female 18-24,North,22316.07,640436,21301,1547,1071383.47
1035,Sunscreen Season Campaign,Email,2024-10-24,2024-11-09,Male 25-34,South,4874.31,115004,4013,194,166864.3
1096,Monsoon Skincare Push,YouTube,2024-03-14,2024-03-25,Male 35-44,East,53184.19,1462668,9301,182,151589.44
1597,Influencer Collab - Skincare,Facebook,2024-01-03,2024-01-16,Female 45+,Unspecified,15205.86,441885,8688,390,679083.27
1523,Clearance Sale Push,YouTube,2024-11-17,2024-11-22,Female 35-44,East,88859.84,3258799,27139,2032,1072677.09
1054,Influencer Collab - Skincare,Google Ads,2024-10-12,2024-10-28,Female 45+,South,65347.74,1002954,21159,885,1173157.02
1168,Ayurvedic Range Launch,YouTube,2024-06-26,2024-07-11,Male 18-24,South,50405.87,2450674,72662,4134,5818458.75
1651,Hair Care Revamp,Google Ads,2024-07-03,2024-08-01,Male 35-44,South,62309.12,1269256,18579,481,420969.04
1398,Festive Gift Bundle,Google Ads,2024-08-01,2024-08-21,Female 18-24,North,31679.13,833457,12614,459,716024.85
1144,Wedding Season Special,Instagram,2024-11-28,2024-12-12,Female 35-44,North,53470.02,1973839,15396,542,254474.3
1502,Clearance Sale Push,Email,2024-03-21,2024-04-03,Female 45+,Central,4650.51,183454,1605,39,48656.92
1541,Men'S Grooming Drive,Instagram,2024-10-25,2024-10-30,Male 45+,North,53407.36,1432075,9101,102,136278.84
1730,Hair Care Revamp,Email,2024-04-26,2024-05-08,Male 25-34,West,5513.31,159566,1049,72,48744.27
1236,New Year Wellness,Google Ads,2024-05-03,2024-05-16,Male 18-24,South,26044.53,934308,28113,981,1451351.04
1788,Back To College Offer,Google Ads,2024-06-20,2024-06-29,Male 45+,South,71895.34,1509844,34904,2687,4475453.76
1148,New Year Wellness,Instagram,2024-09-10,2024-09-27,Male 18-24,West,20536.25,635639,4532,327,120171.57
1239,Herbal Range Awareness,Email,2024-07-05,2024-07-22,Male 35-44,South,4155.1,121683,4183,242,370399.5
1328,Ayurvedic Range Launch,Email,2024-04-06,2024-04-25,Female 25-34,West,1561.19,58464,798,61,31023.33
1781,Wedding Season Special,Instagram,2024-06-19,2024-07-05,Female 18-24,West,24016.39,652357,22789,1708,1579387.22
1133,Back To College Offer,Instagram,2024-09-23,2024-10-13,Male 18-24,East,32760.45,850269,22024,711,558407.26
1749,Anti-Ageing Serum Push,Facebook,2024-04-24,2024-05-09,Female 35-44,Unspecified,31677.07,865853,22871,1522,2624931.99
1256,Ayurvedic Range Launch,Google Ads,2024-04-01,2024-04-07,Female 35-44,North,17493.86,346210,2061,113,103221.92
1142,Ayurvedic Range Launch,Email,2024-08-20,2024-09-09,Male 35-44,West,5073.69,186319,5666,93,163644.47
1414,Anti-Ageing Serum Push,Instagram,2024-01-29,2024-02-12,Male 45+,North,40561.63,675138,17099,840,653208.63
1756,Men'S Grooming Drive,Email,2024-10-28,2024-11-24,Female 45+,East,7464.18,224896,5584,280,288547.21
1370,Wedding Season Special,Google Ads,2024-08-27,2024-09-05,Male 35-44,East,32212.22,910336,8424,153,63347.38
1565,New Year Wellness,Email,2024-01-08,2024-02-05,Female 18-24,South,6688.35,113135,995,22,9094.65
1507,Influencer Collab - Skincare,Google Ads,2024-05-02,2024-05-13,Female 45+,Unspecified,52481.39,2044170,44986,3581,1376716.55
1262,Clearance Sale Push,Facebook,2024-10-31,2024-11-25,Female 25-34,West,7644.35,269146,4426,285,480713.4
1603,Wedding Season Special,Facebook,2024-02-09,2024-02-15,Male 35-44,South,28515.03,741169,18488,608,653930.69
1374,Festive Gift Bundle,Instagram,2024-10-31,2024-11-26,Male 25-34,West,25130.2,404500,9574,399,687778.91
1373,Baby Care Trust Campaign,YouTube,2024-08-01,2024-08-08,Female 35-44,Central,72619.01,2318195,73303,866,1158623.91
1476,Festive Gift Bundle,YouTube,2024-09-10,2024-09-27,Female 45+,Central,42996.28,766659,24856,683,772967.12
1372,Men'S Grooming Drive,Instagram,2024-10-14,2024-11-03,Male 35-44,Unspecified,33635.4,1215783,37697,703,341438.61
1274,Sunscreen Season Campaign,Email,2024-05-18,2024-06-05,Female 18-24,North,6196.57,246041,6823,99,167735.67
1490,Men'S Grooming Drive,Google Ads,2024-11-30,2024-12-13,Female 45+,Central,54401.39,1565233,46182,1175,869206.93
1119,Summer Glow Launch,Instagram,2024-02-04,2024-03-02,Male 18-24,North,8475.36,234287,3794,202,265992.46
1416,Festive Gift Bundle,Facebook,2024-04-05,2024-04-17,Male 45+,West,41069.13,678144,9731,394,686200.23
1792,Hair Care Revamp,Instagram,2024-11-03,2024-11-29,Male 25-34,West,33825.05,997988,20980,1020,1510139.03
1441,Influencer Collab - Skincare,Instagram,2024-03-11,2024-03-27,Female 18-24,West,23423.97,440177,4899,61,103025.54
1244,Festive Gift Bundle,Instagram,2024-09-25,2024-10-24,Female 45+,West,13404.28,408194,3073,231,211428.99
1698,New Year Wellness,Instagram,2024-09-14,2024-10-13,Female 18-24,South,47964.56,1588718,10029,110,62857.33
1304,Baby Care Trust Campaign,Instagram,2024-08-13,2024-09-10,Male 18-24,West,16698.73,491676,14875,205,150341.56
1456,Back To College Offer,Instagram,2024-09-03,2024-09-29,Female 25-34,West,20526.88,416511,11494,645,309391.11
1469,Anti-Ageing Serum Push,Facebook,2024-05-10,2024-06-05,Female 25-34,West,47368.77,880163,9781,528,391052.4
1740,Clearance Sale Push,Google Ads,2024-07-09,2024-07-28,Female 45+,East,63711.93,1190828,29984,2166,2880304.59
1735,Influencer Collab - Skincare,Email,2024-02-09,2024-03-04,Male 18-24,Central,7190.89,261151,6157,430,740821.77
1263,Clearance Sale Push,Instagram,2024-06-12,2024-07-04,Female 18-24,North,15778.16,434846,5054,68,95933.65
1086,Anti-Ageing Serum Push,Google Ads,2024-08-15,2024-09-13,Male 35-44,South,50174.52,1416752,24001,1331,947588.01
1582,Wedding Season Special,Instagram,2024-09-17,2024-10-15,Female 35-44,West,22523.58,773125,9252,411,172627.2
1254,Hair Care Revamp,Email,2024-06-14,2024-07-12,Male 35-44,South,2927.27,104748,3397,165,74228.72
1504,Hair Care Revamp,Google Ads,2024-11-22,2024-11-28,Male 18-24,North,28841.76,1136843,24946,1233,1844355.02
1393,Summer Glow Launch,Facebook,2024-08-04,2024-08-25,Male 25-34,East,38207.39,1376978,17615,801,424152.63
1078,Anti-Ageing Serum Push,Google Ads,2024-04-24,2024-04-29,Male 35-44,South,75157.81,2704133,66248,4332,2380518.05
1674,Hair Care Revamp,Instagram,2024-01-22,2024-02-15,Female 45+,Central,38697.84,1348232,45330,2279,1185846.6
1116,New Year Wellness,Facebook,2024-09-02,2024-09-14,Female 25-34,North,32593.67,655550,21275,1034,1524627.96
1731,Hair Care Revamp,Facebook,2024-09-09,2024-09-14,Male 25-34,West,37448.66,950202,6688,160,64353.3
1121,Influencer Collab - Skincare,Google Ads,2024-06-02,2024-06-28,Male 18-24,West,55761.5,2032812,56486,934,840537.27
1695,Baby Care Trust Campaign,Facebook,2024-04-14,2024-05-09,Male 25-34,West,46204.39,1165740,6186,418,374879.56
1432,Influencer Collab - Skincare,Email,2024-02-16,2024-03-01,Female 18-24,Central,7166.96,189262,4922,294,229702.39
1790,Influencer Collab - Skincare,Facebook,2024-01-23,2024-02-06,Male 45+,West,6788.26,201835,6852,98,152179.45
1187,Anti-Ageing Serum Push,YouTube,2024-03-14,2024-03-29,Male 45+,South,28526.76,485533,7272,574,461754.53
1598,Wedding Season Special,YouTube,2024-09-23,2024-10-21,Female 35-44,West,27464.77,712436,24335,309,298204.85
1765,Baby Care Trust Campaign,Facebook,2024-06-29,2024-07-16,Male 35-44,South,16945.69,377329,4500,234,796455.55
1130,Influencer Collab - Skincare,Facebook,2024-05-03,2024-05-16,Male 25-34,West,12782.3,326948,5332,220,267740.9
1392,Wedding Season Special,Email,2024-07-18,2024-08-15,Male 35-44,South,6180.37,112174,3898,116,56212.25
1217,Herbal Range Awareness,Instagram,2024-06-10,2024-06-28,Male 35-44,East,8251.26,174550,2032,125,122797.49
1815,Clearance Sale Push,Facebook,2024-04-29,2024-05-27,Female 35-44,North,38227.37,760587,8573,165,168009.59
1045,Clearance Sale Push,Google Ads,2024-07-15,2024-07-26,Female 35-44,West,45576.86,1685576,52119,1529,2286633.21
1026,Back To College Offer,Email,2024-08-18,2024-08-31,Male 45+,Central,6879.04,150876,4274,187,130321.52
1464,Summer Glow Launch,Email,2024-02-15,2024-03-15,Female 45+,East,7054.27,220500,2923,162,142984.19
1437,Clearance Sale Push,Instagram,2024-05-07,2024-05-23,Male 18-24,North,18399.26,283366,1654,18,27715.74
1092,Ayurvedic Range Launch,YouTube,2024-03-21,2024-04-09,Female 18-24,West,51318.83,1031538,23931,762,1060419.15
1181,Back To College Offer,Google Ads,2024-03-24,2024-04-16,Female 18-24,Unspecified,69997.78,2182845,55293,1594,1193969.55
1758,Wedding Season Special,Facebook,2024-10-04,2024-10-26,Male 35-44,East,14996.44,398414,8208,149,208298.53
1549,Sunscreen Season Campaign,YouTube,2024-08-03,2024-08-10,Female 18-24,Unspecified,61140.64,1379317,16937,776,414809.67
1649,Sunscreen Season Campaign,YouTube,2024-10-30,2024-11-19,Male 45+,South,73592.1,1821520,61552,3659,2606221.11
1338,Monsoon Skincare Push,Facebook,2024-10-16,2024-11-03,Male 45+,North,33631.83,904730,23366,429,468966.72
1023,Baby Care Trust Campaign,Facebook,2024-10-23,2024-11-16,Female 45+,North,20178.97,525554,13280,607,911056.21
1408,Summer Glow Launch,Instagram,2024-11-03,2024-11-19,Female 45+,West,17213.71,588694,15253,161,164365.57
1433,Wedding Season Special,Facebook,2024-07-20,2024-08-16,Female 25-34,West,16546.59,608310,8037,433,334812.88
1206,Herbal Range Awareness,YouTube,2024-05-01,2024-05-22,Female 45+,Central,36572.9,1156154,37915,1407,2444265.52
1178,Clearance Sale Push,Facebook,2024-06-08,2024-06-21,Male 25-34,East,43762.33,1405702,48039,1246,978978.02
1202,Sunscreen Season Campaign,Instagram,2024-10-10,2024-10-28,Female 18-24,Unspecified,33112.46,917490,29942,670,796565.59
1699,Wedding Season Special,Email,2024-04-04,2024-04-29,Male 18-24,South,3351.22,110689,637,26,40897.02
1140,Influencer Collab - Skincare,Facebook,2024-04-15,2024-04-26,Female 35-44,Central,31083.27,879874,20154,439,776832.55
1135,New Year Wellness,Instagram,2024-07-06,2024-07-21,Female 35-44,North,31792.62,685411,21164,993,1267770.5
1102,Festive Gift Bundle,YouTube,2024-11-22,2024-12-04,Male 18-24,South,22514.85,523635,10039,579,318060.45
1707,Men'S Grooming Drive,Facebook,2024-08-31,2024-09-15,Male 45+,East,13709.59,309576,8999,190,309094.65
1686,Herbal Range Awareness,Email,2024-08-30,2024-09-08,Female 45+,Central,2280.93,51959,536,21,15023.83
1724,Baby Care Trust Campaign,Facebook,2024-11-15,2024-11-30,Female 35-44,Central,29286.36,778057,24907,1900,2670162.91
1158,Herbal Range Awareness,Email,2024-03-02,2024-03-09,Male 25-34,South,6653.18,150397,3931,205,135664.93
1360,Men'S Grooming Drive,YouTube,2024-06-17,2024-07-10,Male 35-44,Central,44246.3,1491514,18014,713,398711.72
1512,Baby Care Trust Campaign,Facebook,2024-08-08,2024-08-28,Male 35-44,West,8379.41,307528,10326,597,442544.02
1397,Baby Care Trust Campaign,Google Ads,2024-03-01,2024-03-17,Female 35-44,East,79371.41,1792325,35089,2294,1275699.64
1600,Festive Gift Bundle,Google Ads,2024-08-28,2024-09-04,Female 35-44,North,31828.84,626769,16184,771,639930.72
1785,Clearance Sale Push,Google Ads,2024-08-02,2024-09-01,Female 45+,Central,65598.03,2373210,59300,1466,1493657.27
1521,Anti-Ageing Serum Push,Email,2024-09-15,2024-09-23,Female 35-44,West,5038.54,124957,3481,258,403548.1
1624,Wedding Season Special,Email,2024-01-21,2024-01-28,Male 45+,Central,3609.57,67386,2311,126,205248.14
1089,Anti-Ageing Serum Push,Instagram,2024-03-05,2024-03-20,Female 25-34,Central,11856.58,315928,6483,123,190911.73
1793,Hair Care Revamp,Google Ads,2024-09-02,2024-09-07,Male 18-24,West,19091.42,644053,8208,459,607773.72
1366,Summer Glow Launch,YouTube,2024-04-11,2024-04-24,Male 45+,Central,78887.32,1281490,30166,1569,888703.94
1174,Hair Care Revamp,YouTube,2024-10-20,2024-11-01,Male 45+,Central,37413.91,930488,28489,354,417107.19
1104,Festive Gift Bundle,Email,2024-06-20,2024-07-04,Female 25-34,Unspecified,7923.7,226479,4488,339,536988.41
1575,Festive Gift Bundle,Email,2024-08-28,2024-09-11,Male 35-44,East,1218.1,29487,404,8,9658.24
1314,New Year Wellness,Email,2024-02-06,2024-02-12,Male 18-24,West,1991.13,62413,1194,88,36644.3
1704,Wedding Season Special,YouTube,2024-07-20,2024-07-29,Male 18-24,West,23148.76,724693,10152,693,1020884.36
1703,Anti-Ageing Serum Push,Google Ads,2024-07-05,2024-07-20,Male 45+,West,56576.14,1036919,21669,589,814737.37
1225,New Year Wellness,Google Ads,2024-11-03,2024-11-12,Female 45+,West,67431.72,1318094,32674,931,1303465.97
1277,Back To College Offer,Facebook,2024-07-20,2024-08-07,Female 35-44,Central,25838.98,503135,11425,684,439676.16
1508,Monsoon Skincare Push,Instagram,2024-06-29,2024-07-06,Male 35-44,East,17317.69,593971,7566,326,235123.63
1700,Summer Glow Launch,YouTube,2024-06-13,2024-06-29,Female 35-44,Unspecified,25761.49,453268,5443,199,232020.45
1309,Festive Gift Bundle,Google Ads,2024-05-12,2024-05-25,Female 18-24,North,40840.24,1114654,36624,1930,1174870.41
1531,New Year Wellness,YouTube,2024-03-08,2024-03-25,Male 25-34,Central,82187.21,3119075,19255,1061,478201.68
1005,Men'S Grooming Drive,Email,2024-10-25,2024-11-11,Female 45+,Central,2535.25,101253,2053,33,13804.52
1592,Ayurvedic Range Launch,YouTube,2024-04-27,2024-05-11,Female 45+,Central,83299.03,1939830,22246,1364,1458147.45
1191,Summer Glow Launch,Instagram,2024-08-15,2024-09-01,Female 45+,North,36458.68,979276,9394,551,696437.25
1708,Hair Care Revamp,Email,2024-08-15,2024-08-23,Female 35-44,East,1949.19,47801,783,17,6441.87
1057,Ayurvedic Range Launch,Google Ads,2024-03-03,2024-03-22,Male 18-24,East,56393.81,1750611,40114,461,687282.84
1684,Wedding Season Special,YouTube,2024-07-21,2024-08-01,Female 35-44,West,48908.38,1391927,35132,1164,1369205.26
1341,Hair Care Revamp,Facebook,2024-08-01,2024-08-20,Female 25-34,Central,11128.89,203445,1123,38,51376.89
1037,Men'S Grooming Drive,YouTube,2024-02-22,2024-02-27,Male 45+,East,36325.45,979619,14910,1156,827804.28
1229,Festive Gift Bundle,Google Ads,2024-11-09,2024-11-22,Male 35-44,East,37821.79,759928,16386,803,489142.16
1106,Men'S Grooming Drive,Facebook,2024-05-13,2024-06-07,Female 18-24,East,36481.82,603887,5161,162,151932.36
1667,Anti-Ageing Serum Push,Google Ads,2024-03-13,2024-04-08,Male 18-24,Central,64313.8,1284149,35105,1642,2431653.65
1114,Influencer Collab - Skincare,Google Ads,2024-10-02,2024-10-22,Female 35-44,West,69453.87,1563990,41019,2723,4564768.31
1150,Hair Care Revamp,Instagram,2024-03-20,2024-04-11,Male 18-24,East,28318.04,873819,26245,1513,674596.58
1488,Hair Care Revamp,YouTube,2024-10-09,2024-10-17,Male 25-34,East,31794.71,901034,12393,678,1163425.42
1670,Back To College Offer,Facebook,2024-07-19,2024-08-11,Female 45+,South,16937.23,402431,4744,362,200417.13
1335,Men'S Grooming Drive,Google Ads,2024-07-31,2024-08-30,Male 45+,North,30204.38,1061436,36206,1436,2369144.1
1619,Back To College Offer,Google Ads,2024-09-12,2024-09-23,Female 35-44,West,24786.26,641592,9744,543,525233.81
1458,Back To College Offer,Email,2024-02-15,2024-03-01,Female 25-34,East,5145.4,101384,3372,168,89838.89
1631,Back To College Offer,Email,2024-07-23,2024-08-06,Female 35-44,East,4728.66,110420,2089,46,76615.64
1462,Anti-Ageing Serum Push,Facebook,2024-08-22,2024-09-16,Male 25-34,Central,31394.93,817746,15924,1159,758172.83
1083,Herbal Range Awareness,Facebook,2024-08-11,2024-08-28,Male 35-44,East,25348.41,986356,14964,345,466957.26
1797,Clearance Sale Push,YouTube,2024-06-13,2024-07-08,Female 45+,West,29933.48,480405,8929,91,78747.86
1485,New Year Wellness,Facebook,2024-01-22,2024-02-14,Female 25-34,North,41966,831899,15284,258,442634.11
1813,Summer Glow Launch,Google Ads,2024-04-17,2024-04-24,Male 45+,West,74649.7,2261464,17651,485,590520.98
1270,Ayurvedic Range Launch,Google Ads,2024-07-17,2024-07-22,Male 25-34,Central,76438.15,1577650,24064,902,495223.24
1358,New Year Wellness,Facebook,2024-08-04,2024-08-29,Female 45+,South,14887.58,324814,1908,124,93343.4
1072,Monsoon Skincare Push,Instagram,2024-05-06,2024-06-02,Female 18-24,North,59531.27,1672930,38969,1382,2323153.53
1166,Back To College Offer,Facebook,2024-10-27,2024-11-04,Female 45+,North,19277.67,354926,3451,263,394019.15
1201,Wedding Season Special,Instagram,2024-04-06,2024-04-14,Male 18-24,West,19210.65,684165,7332,246,356175.17
1211,Wedding Season Special,Google Ads,2024-05-31,2024-06-25,Female 18-24,Central,32421.89,553073,4357,339,498774.72
1772,Festive Gift Bundle,YouTube,2024-11-05,2024-11-23,Female 25-34,Central,43195.82,1051411,15178,362,135120.2
1594,Summer Glow Launch,Email,2024-04-09,2024-05-03,Female 45+,South,6493.4,166418,4543,141,143173.26
1212,Back To College Offer,Facebook,2024-01-13,2024-02-01,Female 35-44,West,20595.48,353995,2346,153,177360.98
1013,New Year Wellness,Email,2024-01-30,2024-02-05,Male 35-44,Central,4337.52,164759,3449,48,52144.86
1007,Hair Care Revamp,YouTube,2024-07-10,2024-08-08,Female 35-44,East,55453.43,1911239,39965,401,1458147.45
1573,Back To College Offer,Google Ads,2024-04-29,2024-05-07,Female 18-24,South,12695.12,407653,12562,635,260880.61
1157,Monsoon Skincare Push,Facebook,2024-07-20,2024-08-16,Male 35-44,South,20355.07,535723,6433,489,267660.1
1682,Back To College Offer,Facebook,2024-10-01,2024-10-16,Male 45+,Central,41519.16,1249821,33249,2002,2572971.69
1546,Back To College Offer,Facebook,2024-01-26,2024-02-08,Female 18-24,East,21409.6,472759,14546,822,1204134.48
1409,Ayurvedic Range Launch,Instagram,2024-04-29,2024-05-19,Male 18-24,North,9913.39,270843,7074,370,133328.14
1020,Men'S Grooming Drive,Email,2024-06-17,2024-06-30,Female 45+,South,7768.22,170730,4139,157,278308.73
1500,Clearance Sale Push,Facebook,2024-09-01,2024-09-25,Female 25-34,East,7328.17,176836,1303,20,23506.31
1719,Sunscreen Season Campaign,Google Ads,2024-08-19,2024-08-28,Male 45+,West,61650.14,1519004,50869,3618,5401618.62
1733,Monsoon Skincare Push,Google Ads,2024-04-14,2024-04-24,Female 45+,West,12916.21,453564,12375,881,564022.21
1748,Anti-Ageing Serum Push,Google Ads,2024-03-30,2024-04-18,Male 45+,North,69748.85,1115661,25697,1024,1378171.57
1030,Summer Glow Launch,Instagram,2024-01-16,2024-01-28,Female 18-24,East,51639.9,1576741,19167,827,426620.1
1015,Wedding Season Special,Email,2024-02-07,2024-02-29,Female 25-34,West,4541.19,83155,1286,19,13380.04
1017,Men'S Grooming Drive,YouTube,2024-01-02,2024-01-17,Female 18-24,North,62783.5,1352914,36849,1791,1074726.4
1580,Festive Gift Bundle,Email,2024-09-20,2024-10-11,Female 35-44,North,7329.82,174883,2985,146,201826.91
1776,Influencer Collab - Skincare,Email,2024-07-12,2024-07-27,Female 35-44,Central,5999.9,199714,4804,96,139685.54
1761,Back To College Offer,Instagram,2024-08-04,2024-08-15,Female 25-34,Central,54348.2,1585020,8393,282,354000.81
1436,Festive Gift Bundle,YouTube,2024-05-19,2024-05-28,Female 18-24,West,41856.52,854576,5155,295,195715.22
1132,Summer Glow Launch,Email,2024-08-16,2024-09-01,Male 18-24,Central,4241.44,135678,3488,71,127563.5
1171,Baby Care Trust Campaign,Email,2024-07-28,2024-08-24,Male 18-24,North,6054.27,201300,2608,77,53472.27
1281,Herbal Range Awareness,YouTube,2024-11-08,2024-12-04,Male 25-34,West,67488.51,1977890,43247,3357,4822449.58
1001,Clearance Sale Push,Instagram,2024-01-17,2024-01-22,Female 45+,North,19369.17,535245,3102,74,95632.6
1058,New Year Wellness,Instagram,2024-05-21,2024-05-30,Female 18-24,South,36091.2,1261851,10470,739,399883.75
1712,Anti-Ageing Serum Push,Email,2024-07-27,2024-08-23,Female 45+,West,1926.38,45570,585,13,9858.94
1762,Baby Care Trust Campaign,YouTube,2024-04-22,2024-05-02,Male 35-44,East,30235.59,919386,30922,506,720372.65
1368,Anti-Ageing Serum Push,Email,2024-07-08,2024-07-31,Male 18-24,East,5530.65,94814,1807,128,225648.49
1470,Baby Care Trust Campaign,YouTube,2024-02-09,2024-02-22,Male 18-24,East,54860.26,1760985,30294,1001,479491.54
1663,Influencer Collab - Skincare,YouTube,2024-11-10,2024-11-18,Male 25-34,North,31966.76,627049,15538,512,902265.49
1324,Summer Glow Launch,Email,2024-10-12,2024-11-10,Female 25-34,North,4622.07,147271,1699,59,41101.79
1655,Sunscreen Season Campaign,Google Ads,2024-04-06,2024-05-05,Female 35-44,Central,24430.09,477355,2762,143,225198.2
1431,Anti-Ageing Serum Push,Email,2024-03-22,2024-04-15,Male 45+,South,7574.08,224853,4513,261,110861.2
